SO2;NO2;O3;PM2.5;PM10
8,72;27,90;53,57;24,20;54,66
16,03;29,60;68,61;28,37;53,84
7,02;16,87;68,19;20,12;38,74
8,37;19,57;67,07;16,68;36,69
14,36;28,27;64,45;24,14;64,51
17,87;22,16;44,95;22,31;39,88
5,24;13,91;52,05;22,68;34,28
3,90;16,55;60,54;16,79;28,14
7,06;32,22;53,51;24,14;38,84
10,44;21,51;71,51;19,16;31,16
9,35;20,12;74,08;21,40;34,10
6,85;25,48;71,74;17,54;49,47
11,12;23,46;71,87;15,46;35,03
21,34;23,70;79,96;17,30;34,77
13,31;20,23;87,08;15,47;34,04
14,92;21,34;67,95;15,24;22,93
24,80;22,91;28,51;20,05;33,94
16,09;18,40;40,46;17,49;28,96
33,32;29,32;44,80;31,79;44,50
9,11;23,20;45,49;27,05;40,45
6,79;18,47;54,35;22,50;30,42
31,62;28,00;50,18;25,91;39,71
15,76;27,38;54,56;27,80;41,08
5,57;18,81;69,06;18,21;35,22
10,94;19,40;71,92;17,93;31,63
19,87;28,75;65,64;23,47;34,66
9,80;27,91;53,37;29,20;46,03
15,38;24,49;59,81;25,38;39,94
11,63;28,29;58,00;34,51;53,75
13,25;16,07;63,77;44,17;62,81
8,02;14,15;52,21;30,80;38,97
4,86;17,78;49,60;22,77;35,06
5,44;19,49;53,56;36,48;54,59
8,42;23,89;59,37;29,01;48,53
10,32;18,12;69,52;36,23;50,09
9,58;18,70;63,58;26,92;40,94
12,94;23,20;57,37;32,48;46,86
10,45;15,61;50,32;18,90;25,23
6,86;18,05;54,51;24,58;37,99
14,68;24,94;44,73;24,09;40,69
21,44;24,08;44,41;30,13;48,77
9,21;20,94;47,63;28,98;49,65
13,80;29,54;53,34;38,13;61,15
7,14;23,07;57,90;31,22;51,77
7,77;26,27;57,28;22,59;48,24
9,06;19,01;69,78;25,78;48,44
7,85;20,37;64,41;25,82;51,09
21,15;18,30;44,73;19,48;29,67
19,94;14,59;44,58;14,18;24,20
32,96;21,08;52,00;14,18;31,37
19,60;18,33;39,29;24,09;48,99
17,47;17,08;31,36;15,71;31,82
7,29;17,89;42,98;16,54;33,83
3,42;18,00;28,49;29,12;36,92
10,88;15,99;35,62;28,12;35,41
18,02;17,55;36,59;20,47;29,30
12,51;16,00;39,60;14,38;31,80
26,30;19,29;37,62;17,15;34,88
44,10;28,40;55,48;19,14;33,51
25,93;35,02;85,18;31,43;57,54
8,63;26,15;76,66;27,91;48,90
11,79;21,66;77,45;32,63;52,70
7,63;14,76;66,76;26,90;43,72
7,81;20,37;74,54;26,65;41,09
13,98;28,56;70,07;26,27;40,11
7,37;24,15;57,86;28,82;43,23
9,89;20,98;53,75;23,39;35,44
16,44;20,41;46,93;16,87;26,67
27,02;29,07;46,93;20,42;39,42
8,13;32,63;54,92;27,65;55,42
6,62;26,66;53,83;15,08;25,96
19,66;35,40;57,71;21,01;35,61
7,83;24,16;53,62;20,43;33,41
9,08;24,55;54,34;17,63;34,63
7,20;26,40;48,46;19,36;38,02
15,05;24,96;61,31;16,53;29,90
7,00;21,14;47,66;25,26;38,81
7,90;27,50;47,45;28,33;42,27
29,76;30,62;48,99;30,67;47,02
25,69;38,95;50,04;30,64;49,28
11,89;39,67;47,17;39,63;63,01
23,42;42,50;58,71;36,23;66,16
23,53;32,99;48,30;29,93;42,95
32,20;28,90;43,69;21,54;34,59
7,56;25,32;46,83;25,26;44,08
8,59;27,72;55,16;20,83;46,32
6,17;22,31;55,74;16,37;35,89
19,38;34,97;49,87;22,80;54,53
5,49;25,89;50,22;20,80;51,69
6,96;27,56;47,69;23,17;46,49
11,39;30,29;53,51;34,10;58,38
8,06;33,74;49,76;35,01;59,18
23,54;37,01;62,99;39,39;72,79
22,28;46,47;56,96;27,56;50,58
10,06;26,56;63,02;22,99;48,57
14,20;26,81;48,03;18,23;28,72
18,16;26,98;45,02;23,24;34,48
35,57;27,16;41,20;33,66;47,50
35,46;28,01;37,48;21,99;41,49
12,54;25,04;54,84;25,49;44,30
5,92;24,34;56,36;20,41;37,69
7,09;35,03;48,14;31,48;58,18
10,32;31,80;58,48;25,05;49,05
8,74;18,87;73,82;20,50;37,75
18,25;17,81;41,72;22,14;36,86
39,18;29,85;33,96;34,19;52,06
19,34;31,67;43,10;36,81;61,44
17,59;28,69;51,43;42,63;64,34
38,02;30,08;35,15;26,56;43,68
19,30;29,36;39,61;20,65;40,00
8,49;20,43;53,96;17,42;32,27
10,64;26,87;58,22;21,62;37,98
23,82;30,16;51,07;33,31;61,21
11,92;41,53;49,80;31,72;63,72
11,13;34,95;47,29;35,07;67,82
9,48;28,81;49,97;34,04;64,64
23,98;42,21;45,56;37,34;74,24
13,31;25,50;54,25;27,28;49,62
21,82;21,61;65,17;26,47;42,36
27,73;26,18;58,16;28,02;42,36
26,85;30,31;31,83;25,15;33,23
9,17;22,88;42,83;17,49;32,26
8,50;28,25;46,41;20,85;37,70
10,70;26,23;50,27;27,24;47,09
13,26;24,67;44,60;36,24;52,55
6,57;15,57;44,77;17,63;33,55
8,88;23,08;42,32;18,35;34,02
10,30;25,20;49,59;27,33;45,35
4,80;25,64;39,94;16,90;27,04
22,13;24,96;44,12;20,43;33,78
37,07;31,55;41,78;20,97;40,97
14,07;33,89;54,97;28,26;49,49
13,77;39,62;55,13;22,05;46,02
10,93;41,53;62,84;23,59;50,49
18,27;47,36;55,51;37,58;73,24
11,94;29,47;52,79;17,98;39,68
23,74;28,26;34,98;20,05;38,77
6,77;29,45;34,73;19,09;28,22
7,72;20,38;48,65;15,34;25,02
19,90;26,72;55,82;19,63;33,17
13,44;31,80;53,76;22,89;40,19
10,83;31,43;50,47;29,14;52,98
18,96;38,27;47,15;27,48;39,74
12,48;24,76;52,20;17,90;33,36
11,36;22,17;42,22;14,48;18,90
8,83;26,01;45,13;20,91;29,27
5,38;15,99;58,07;17,04;25,89
7,25;19,85;46,95;10,60;19,72
15,07;28,46;36,66;19,05;31,75
20,38;35,26;31,49;29,65;52,77
37,25;51,34;41,05;45,25;79,76
23,21;37,45;37,20;32,04;54,80
31,15;44,58;38,83;38,74;61,91
9,52;34,08;45,19;27,84;49,67
20,17;36,36;47,39;27,96;61,15
29,71;41,03;42,66;33,67;60,85
26,34;39,62;56,78;41,52;67,66
14,45;32,59;50,76;37,76;75,18
12,50;39,50;47,59;33,06;71,72
6,54;25,66;44,10;18,02;39,77
18,21;28,24;36,61;16,11;31,84
43,66;46,50;27,16;32,48;64,56
23,47;41,69;39,74;30,29;63,30
19,54;40,93;48,37;34,95;72,78
8,92;39,09;44,56;35,45;75,53
11,11;35,27;41,09;29,51;66,23
11,96;27,73;42,65;26,26;48,64
13,55;31,19;45,55;29,00;47,10
23,28;41,00;44,99;38,24;61,75
16,39;37,69;47,67;47,26;77,62
21,10;42,71;47,40;45,48;76,96
25,46;45,95;41,63;45,34;78,21
17,90;34,50;40,05;38,50;68,69
29,71;32,58;42,61;27,56;40,42
10,65;33,45;42,47;36,05;57,19
16,70;37,88;35,71;51,54;84,88
29,57;48,19;33,02;51,10;86,12
18,11;39,45;37,08;44,72;78,51
20,77;48,40;32,09;45,44;90,91
19,20;45,75;34,81;38,00;68,55
18,83;41,19;42,26;40,50;72,42
15,72;35,64;44,38;37,14;70,39
13,42;33,96;56,57;36,04;72,40
8,94;34,86;39,91;35,19;65,11
14,43;35,61;30,95;29,12;57,62
12,49;32,71;32,47;34,56;66,05
15,53;45,18;30,76;40,01;67,65
21,57;39,59;45,68;38,32;83,91
12,38;23,30;59,27;29,29;72,45
6,02;28,99;38,65;26,23;50,35
11,90;38,34;28,82;37,68;72,74
12,51;38,50;33,91;42,70;77,83
23,80;53,09;26,69;44,55;77,54
28,70;49,38;39,72;52,29;84,74
15,48;31,72;49,19;30,22;62,70
6,63;18,65;43,72;17,74;33,25
31,39;37,57;34,04;29,75;53,24
17,65;45,99;43,84;45,65;81,13
8,78;49,03;43,22;64,20;101,06
13,61;48,63;39,05;58,94;91,67
13,91;48,32;41,58;55,68;88,39
11,25;32,77;34,37;38,22;64,44
20,94;43,87;42,79;49,14;76,27
26,34;45,47;40,91;63,53;91,16
24,00;47,60;37,24;43,39;71,84
12,42;42,40;30,82;56,48;84,74
46,98;64,14;24,05;61,86;103,10
27,60;70,05;38,22;74,78;109,58
40,55;59,03;35,87;75,60;114,78
25,94;52,15;51,29;64,55;104,43
18,02;55,37;39,94;65,77;100,82
11,10;42,14;39,53;43,81;78,41
12,57;38,66;53,94;34,23;64,59
7,73;33,03;53,16;31,31;60,81
20,01;47,75;35,20;38,66;65,36
15,49;41,02;42,20;49,70;78,79
10,33;40,59;44,77;41,69;69,70
19,24;46,22;43,97;38,93;70,29
22,16;46,15;51,48;36,65;67,04
21,38;51,42;45,81;40,98;83,01
21,18;48,76;47,14;48,25;90,82
14,13;33,71;39,39;28,57;58,84
9,47;37,40;37,76;34,37;56,88
20,38;48,06;35,10;51,24;75,01
12,65;48,39;44,27;51,93;85,23
15,61;49,32;40,77;56,04;97,09
25,47;34,73;43,14;36,03;65,37
38,01;45,52;22,42;50,13;84,43
16,28;47,68;33,00;48,13;90,05
7,21;37,24;31,26;40,13;69,02
24,57;42,78;29,36;47,47;81,33
25,99;49,52;47,02;49,53;91,36
16,88;48,82;42,49;49,07;86,10
28,49;55,02;34,24;45,36;94,74
13,92;32,70;50,74;41,23;98,66
12,59;26,92;56,62;23,80;67,60
7,15;19,57;54,51;17,80;37,32
22,97;32,90;38,60;27,03;47,27
20,14;43,43;42,59;36,84;73,49
8,72;33,00;51,79;29,61;61,73
13,07;44,09;47,19;43,05;79,81
15,44;50,14;41,96;46,11;98,33
15,72;48,15;47,49;50,07;108,30
10,39;43,33;50,86;40,76;86,09
8,68;28,29;50,84;29,04;60,57
19,87;36,06;38,42;37,84;69,19
27,90;47,31;32,18;55,64;98,20
41,71;56,45;33,12;52,84;86,25
48,14;60,96;25,25;54,40;95,30
54,17;59,84;21,76;46,29;82,13
38,40;55,38;31,86;48,12;82,66
27,36;43,20;43,60;32,94;59,97
34,60;49,03;32,31;37,04;65,23
17,60;45,63;46,58;36,83;73,83
21,17;41,98;43,23;31,06;77,88
14,39;31,54;54,03;25,10;75,25
8,63;26,51;58,19;15,48;34,48
14,04;33,37;40,16;27,44;46,41
8,27;21,30;56,54;27,18;49,41
6,94;23,34;43,82;19,49;39,84
10,63;37,75;42,63;29,31;57,20
6,52;31,69;42,16;18,22;39,76
15,63;43,70;37,54;22,43;54,22
5,66;34,77;41,16;24,55;48,13
9,52;36,97;40,02;28,98;63,02
5,59;20,67;46,08;11,86;27,14
28,45;56,55;33,76;34,08;64,01
11,76;37,18;42,50;25,35;50,01
19,83;30,89;68,62;29,73;96,06
6,70;33,56;43,12;19,16;48,12
11,33;42,29;42,07;30,22;68,41
10,51;33,91;55,60;32,33;65,19
13,32;35,61;60,07;35,27;65,00
9,50;36,23;64,22;29,98;59,02
17,43;50,64;61,72;37,24;68,88
16,76;45,71;63,37;37,34;66,84
16,09;37,35;62,83;31,02;64,47
12,78;29,47;54,60;32,89;109,13
7,26;23,32;48,29;16,65;36,47
9,14;30,72;43,93;22,39;39,32
20,97;62,64;45,32;36,45;64,35
13,84;51,46;52,37;28,44;66,61
13,00;43,40;55,95;29,94;68,69
13,38;50,35;49,04;31,26;69,32
17,17;44,41;43,19;39,75;77,80
15,48;50,07;57,00;37,82;71,61
22,66;35,52;65,90;33,69;58,01
12,66;40,54;68,17;35,18;93,79
11,96;43,38;56,56;39,68;96,37
14,25;41,59;64,57;41,58;77,76
8,03;41,59;68,36;39,54;81,19
7,44;37,18;76,11;43,45;91,20
8,40;41,12;77,55;35,63;67,64
13,03;38,55;71,29;37,07;102,38
16,49;49,03;45,72;27,95;67,33
12,09;38,53;50,05;33,89;71,46
13,24;42,86;44,16;37,92;79,71
13,67;33,14;78,80;39,97;96,78
10,13;30,62;79,20;39,65;105,72
14,08;15,89;46,36;11,55;46,83
41,18;30,00;28,71;22,16;43,64
5,98;24,03;62,83;24,65;45,51
7,54;27,82;65,59;30,06;52,44
7,78;32,67;61,18;27,30;61,20
8,81;32,07;59,11;25,25;66,85
10,28;25,62;80,54;23,99;66,18
6,67;13,18;59,75;11,49;32,65
17,44;21,93;60,33;18,44;52,01
25,42;27,86;42,33;24,08;44,26
58,02;46,45;38,05;32,65;57,77
31,95;43,00;45,43;30,18;66,00
27,93;38,92;56,98;39,89;74,42
18,71;36,33;58,20;38,39;67,68
10,76;29,76;54,09;38,57;63,85
12,70;24,22;63,11;28,96;64,38
10,98;25,92;51,53;30,40;60,64
8,96;27,37;54,42;26,89;44,46
7,26;26,14;55,27;23,75;44,12
10,57;29,91;53,11;27,08;59,47
9,11;31,51;70,42;26,53;46,23
9,16;23,69;69,45;27,37;55,75
6,73;20,86;56,42;17,13;40,24
14,68;23,86;69,06;22,37;44,45
7,68;22,24;55,72;23,80;47,61
5,58;21,25;58,64;25,20;62,09
7,04;28,34;63,56;22,28;39,05
6,24;26,03;53,60;20,67;45,09
15,41;25,94;44,53;21,29;37,04
4,64;17,59;46,34;13,82;18,87
4,84;23,45;63,08;16,93;30,08
20,91;30,05;52,57;22,89;34,14
7,50;28,05;50,05;21,02;33,32
4,64;23,24;56,46;19,98;31,32
4,74;23,91;61,08;21,41;32,34
3,59;20,46;66,17;15,85;26,11
7,65;25,03;61,90;20,60;31,08
11,97;25,36;51,12;14,68;22,48
8,84;29,84;55,29;17,19;25,84
5,77;24,02;58,78;15,54;33,62
6,68;21,05;67,21;14,78;36,99
14,37;24,52;55,19;14,29;32,66
17,78;28,62;53,48;18,99;39,12
13,91;25,07;55,31;19,10;35,87
7,45;25,91;64,21;19,81;36,98
11,33;31,81;75,31;21,22;41,89
11,52;33,32;76,63;28,82;63,59
7,99;26,61;66,70;17,17;39,46
11,70;35,40;46,28;20,35;70,20
10,12;31,04;49,00;22,08;49,91
8,84;24,66;55,54;22,67;51,41
6,29;21,81;53,84;17,49;32,36
7,12;26,21;64,78;16,16;35,58
8,53;23,36;74,48;19,80;44,87
8,02;27,98;73,59;18,77;39,71
12,30;26,79;71,31;17,98;41,09
6,34;21,31;73,39;23,95;55,82
7,77;17,74;69,74;15,88;32,64
15,28;30,54;59,62;15,99;34,94
10,14;24,10;64,34;22,52;52,19
8,05;20,51;71,78;18,83;36,99
11,33;26,01;67,38;17,90;28,89
15,03;27,96;62,28;18,32;27,95
10,33;23,42;65,18;19,18;30,62
14,81;23,31;68,31;24,19;37,79
10,82;26,15;55,68;23,03;34,23
17,44;24,96;72,03;20,70;46,23
23,69;33,09;72,10;24,38;46,06
14,06;28,44;55,15;18,13;36,99
12,20;26,53;43,63;18,02;26,34
7,95;20,69;70,19;17,71;43,43
6,15;30,89;87,47;11,53;18,98
5,16;24,12;70,75;19,49;31,19
3,68;24,28;51,31;18,92;34,42
4,68;31,28;60,94;21,93;33,87
15,72;38,36;60,90;29,91;40,33
5,47;35,98;53,69;24,95;37,40
4,70;28,92;53,20;20,05;32,44
5,31;27,52;57,23;18,60;25,64
10,29;28,11;61,34;21,25;29,36
10,06;34,59;44,06;21,67;24,71
3,71;20,70;78,27;15,65;24,50
4,10;36,62;57,54;16,02;24,27
4,61;35,56;54,78;19,59;30,47
6,19;30,85;63,75;18,58;29,15
4,22;24,58;68,76;14,40;24,06
5,40;26,74;59,47;12,80;23,73
8,83;28,65;56,15;21,59;37,69
5,31;24,23;69,93;13,47;21,66
6,12;26,58;68,80;12,04;18,20
10,47;35,97;59,37;29,87;39,14
16,44;40,04;65,16;42,57;56,17
13,37;27,52;76,21;32,03;53,01
11,50;31,57;71,52;31,36;42,42
9,74;23,34;57,57;32,02;45,43
8,70;20,09;54,06;25,75;37,87
6,62;18,35;48,75;21,73;34,71
13,04;22,96;59,05;20,42;33,99
8,95;19,45;57,39;20,41;33,71
15,06;18,91;46,68;13,16;24,55
16,46;20,55;54,67;19,19;28,00
17,80;20,26;52,23;15,17;28,90
22,36;23,08;44,24;22,67;32,34
18,23;22,36;58,85;14,55;26,32
28,39;30,05;62,77;20,15;31,65
23,17;28,87;58,12;22,84;35,10
9,68;22,32;65,23;20,35;29,95
5,03;21,92;74,23;19,10;30,18
12,99;30,63;69,93;32,13;48,49
19,88;37,40;45,77;34,02;47,38
6,26;24,87;50,14;27,41;40,18
5,32;21,39;56,22;13,76;25,79
8,78;27,51;51,10;18,81;36,46
6,75;19,87;57,98;18,18;28,11
12,21;24,88;57,96;15,91;34,41
15,19;29,58;55,20;19,40;35,93
8,72;20,95;53,16;18,19;32,60
13,86;25,18;55,94;16,70;33,43
17,28;27,90;43,61;18,29;35,32
25,31;32,77;72,10;24,28;45,31
14,31;21,61;60,20;19,73;36,60
31,65;39,91;65,39;17,81;35,00
37,19;35,36;57,79;27,84;45,85
36,97;32,10;57,30;30,28;45,11
9,07;26,86;57,23;27,13;49,99
14,32;34,85;70,32;38,36;53,41
20,52;23,25;82,23;23,28;38,24
16,04;19,85;54,07;22,08;29,35
25,19;25,68;28,09;17,27;28,62
19,21;25,21;30,94;14,00;23,16
6,33;22,14;44,46;16,51;33,45
8,71;19,90;44,16;17,03;29,00
14,13;23,93;24,98;18,20;23,85
9,68;20,39;28,81;19,52;26,85
15,82;24,02;38,78;41,70;51,05
22,26;28,08;28,74;21,64;28,71
7,64;28,02;43,79;19,72;31,41
5,50;19,37;40,95;22,51;35,63
14,47;22,34;54,73;22,02;36,27
23,99;21,37;41,12;18,75;45,81
13,12;17,25;58,99;24,19;38,96
8,95;18,76;59,44;19,83;33,45
19,50;26,59;61,35;35,10;51,93
40,52;31,39;49,43;22,04;40,13
24,17;27,03;49,56;17,82;43,54
33,67;26,42;38,40;19,61;42,79
29,33;23,51;42,23;15,27;37,91
29,32;18,73;45,20;16,43;29,49
32,50;25,40;50,33;14,27;28,00
52,90;38,18;53,38;20,57;39,71
16,15;26,13;59,94;25,31;47,84
19,21;26,15;76,20;27,49;43,43
5,48;19,90;80,04;26,88;48,18
21,15;25,38;59,66;35,97;49,47
10,84;24,05;55,51;23,21;42,39
6,84;18,23;57,00;26,93;37,35
8,35;19,16;52,55;30,47;39,46
4,40;18,93;58,47;14,72;27,43
28,08;29,33;47,28;34,02;45,85
8,88;24,20;49,01;23,24;43,38
8,92;27,55;52,87;25,91;47,02
9,73;29,01;45,67;27,82;43,80
9,98;23,36;42,97;31,42;42,64
9,19;23,20;36,77;24,69;31,73
7,57;21,82;36,39;17,08;27,26
7,83;22,24;33,41;18,72;28,94
9,07;22,26;45,87;19,50;31,36
9,05;28,98;43,51;20,92;30,92
7,23;29,06;40,61;26,22;39,77
8,77;19,94;41,75;23,36;30,87
16,16;23,63;41,02;20,45;29,18
14,19;27,01;33,82;19,67;27,31
5,82;26,86;37,08;18,53;31,59
22,56;22,60;25,59;20,41;32,98
8,70;25,75;30,91;18,12;26,82
4,72;23,12;32,66;26,81;38,01
9,56;24,52;44,31;27,94;42,42
6,25;24,41;44,81;26,80;43,94
20,32;32,46;45,79;32,66;48,87
5,30;22,15;48,67;25,32;55,52
10,39;29,66;44,64;22,03;46,45
14,03;29,99;40,30;30,57;53,70
7,95;24,19;44,17;30,81;44,80
18,79;31,55;52,86;43,00;60,36
15,99;32,24;34,87;31,75;50,35
21,10;33,14;37,08;28,25;50,96
7,73;21,47;37,39;23,08;39,80
18,07;22,78;39,13;21,72;34,54
32,01;33,79;39,81;31,07;44,55
13,29;28,84;46,36;29,22;45,85
6,86;25,91;42,42;32,37;47,04
14,28;38,01;41,14;33,21;48,75
7,87;29,87;38,78;29,65;49,43
9,86;28,42;34,19;24,91;46,87
4,83;26,19;44,68;17,30;32,78
8,40;35,01;31,28;23,56;42,61
11,53;29,67;41,98;24,58;45,39
23,96;29,42;36,98;27,21;42,84
38,96;31,90;24,97;17,39;40,17
40,42;34,22;26,35;23,12;43,96
38,62;35,87;17,80;26,41;47,56
42,17;37,14;21,87;22,34;44,86
36,43;40,39;24,50;27,51;53,30
32,35;39,73;29,49;29,44;49,79
48,30;37,98;23,48;20,07;40,50
23,72;33,59;29,13;22,07;35,47
17,60;33,93;31,07;28,74;45,37
37,45;31,50;24,32;21,80;31,11
17,40;32,49;38,65;26,53;37,20
6,31;28,25;45,36;30,60;40,57
18,39;38,46;37,81;34,73;50,27
25,63;36,39;52,62;38,42;54,86
17,49;31,51;64,67;44,20;59,08
12,39;37,47;45,77;29,53;49,99
12,73;35,05;35,22;22,35;38,27
5,56;24,00;39,93;14,71;23,86
22,03;47,97;31,44;30,05;49,34
7,23;36,49;36,26;31,07;54,66
7,51;24,25;36,50;24,12;42,44
25,21;34,54;32,49;26,11;41,95
9,45;38,17;41,85;42,21;70,85
12,04;44,30;36,03;42,47;71,68
11,65;34,18;42,01;36,25;62,62
12,79;41,23;36,88;47,67;76,98
34,99;49,04;39,92;42,71;70,58
18,85;35,33;58,46;43,74;65,42
21,75;35,72;44,44;32,19;58,83
27,66;43,35;36,97;37,78;62,70
17,29;32,63;48,55;41,24;63,00
8,24;35,32;40,47;36,14;70,71
7,92;29,65;37,54;25,66;58,81
6,60;27,45;34,96;22,58;43,65
10,85;27,92;32,82;28,89;50,46
7,98;26,59;31,31;23,45;53,50
20,80;39,03;33,97;32,89;67,39
12,50;36,43;30,03;42,30;69,05
11,54;34,90;33,16;40,60;67,04
5,79;27,92;38,83;22,42;55,32
9,19;32,32;34,04;33,31;59,62
16,00;30,31;39,16;29,15;57,70
8,34;37,11;38,41;30,90;56,32
11,50;35,85;34,63;32,20;59,05
20,46;37,09;29,27;29,93;44,68
13,32;35,06;31,21;40,16;55,70
14,60;37,43;34,51;33,65;56,39
19,67;46,71;35,30;47,97;74,16
12,88;36,21;29,22;45,76;68,61
12,68;38,48;36,77;38,44;60,04
22,05;42,84;34,16;36,81;72,93
15,34;41,85;44,10;42,11;78,04
9,02;40,74;35,13;39,69;65,81
9,58;36,99;35,93;34,90;64,81
15,06;40,28;38,53;37,22;65,34
12,76;36,87;49,78;32,88;62,98
10,85;36,88;41,74;30,79;59,52
17,48;37,01;37,15;28,95;57,07
16,69;33,95;43,38;30,58;66,52
13,06;22,70;55,62;21,21;55,19
12,53;28,07;39,40;24,51;52,84
43,45;51,96;24,66;54,03;83,19
26,07;45,14;39,19;51,15;72,87
13,63;40,43;34,48;38,74;56,82
11,32;35,07;34,50;31,74;53,43
16,00;44,08;33,94;45,97;77,51
20,88;46,92;35,72;56,13;81,22
19,40;51,07;31,54;64,83;96,02
21,10;48,21;41,23;60,93;91,53
8,83;25,06;64,18;26,60;59,26
22,58;40,24;34,79;50,89;73,09
15,33;41,00;36,90;51,48;83,16
12,44;34,00;46,12;35,04;61,01
13,21;20,72;42,44;21,67;36,73
25,27;34,09;28,62;36,98;63,23
42,66;55,34;28,50;78,21;109,81
49,08;55,57;32,59;80,61;120,26
18,57;50,78;29,45;69,14;99,99
40,52;61,23;29,56;77,32;120,64
20,31;50,30;29,39;63,36;101,02
13,27;38,11;30,45;41,37;65,55
17,79;41,34;31,36;40,47;61,33
16,77;43,85;34,36;50,98;76,33
12,76;33,10;41,06;43,00;64,54
22,27;46,46;25,16;55,83;78,77
25,73;53,64;31,83;61,16;89,41
35,15;52,80;27,07;57,53;95,71
35,36;48,33;32,66;61,74;94,24
27,22;42,00;33,32;54,70;80,61
15,68;26,49;38,81;36,45;86,57
11,82;18,07;32,36;19,92;41,72
15,64;18,95;31,48;16,49;34,08
15,83;20,72;27,90;26,06;48,13
40,11;33,71;22,14;44,49;69,15
57,66;48,69;16,14;66,59;97,61
21,99;49,10;31,72;67,11;89,15
18,48;40,25;32,48;49,50;81,19
16,62;34,61;32,96;42,99;62,01
20,18;46,08;29,48;52,28;71,94
15,59;38,85;40,87;47,55;86,77
14,39;37,37;43,94;52,32;85,91
15,39;34,73;46,34;41,50;77,30
10,79;33,79;43,66;29,82;66,16
18,04;29,21;32,71;26,79;53,22
44,89;40,78;26,58;39,90;67,06
34,02;55,00;37,57;64,69;94,48
18,54;41,53;34,84;54,03;87,48
13,73;35,76;46,01;48,48;81,24
11,51;41,97;37,00;50,49;97,86
19,05;41,81;40,93;43,64;78,72
8,18;15,44;47,39;18,09;33,22
42,96;31,80;23,83;20,46;38,20
25,85;36,68;40,72;44,98;97,70
34,30;35,54;33,48;41,85;73,41
33,09;37,19;32,46;43,34;81,33
21,51;28,06;44,51;50,21;86,33
21,48;31,42;36,12;45,94;77,96
30,74;40,43;46,17;58,23;95,20
19,46;32,57;51,32;46,65;73,25
22,06;31,77;49,49;41,55;70,32
17,25;28,71;45,95;40,15;77,88
21,26;34,19;40,26;44,06;82,82
14,37;25,54;58,00;40,33;87,84
18,84;21,10;59,35;42,91;104,59
13,03;23,30;29,46;32,94;45,80
30,52;25,07;37,60;30,54;40,23
15,56;27,08;44,60;33,43;53,72
26,85;30,59;35,82;43,99;67,71
20,66;30,98;47,46;34,59;58,59
16,72;28,93;46,51;37,29;59,17
20,13;28,59;51,01;37,04;60,43
25,29;25,19;35,87;35,57;42,58
15,51;21,33;39,37;24,99;32,80
10,42;20,01;45,98;29,21;35,40
7,63;22,36;47,55;26,87;41,72
24,52;25,60;48,53;33,32;53,58
19,00;24,43;47,87;28,81;51,23
20,23;18,62;45,81;16,08;31,50
11,47;18,64;44,26;25,26;30,96
12,67;18,46;43,61;19,31;33,89
17,87;24,78;38,54;32,28;52,47
26,65;29,78;38,99;45,52;70,75
28,22;31,77;47,60;35,14;65,08
15,94;22,10;79,99;34,14;102,49
9,65;17,35;64,97;17,81;61,07
22,16;23,33;39,85;21,39;35,52
37,52;24,53;45,20;27,08;43,83
44,18;28,82;43,82;32,23;51,88
45,94;26,89;35,55;25,25;48,18
46,06;27,85;37,09;29,86;55,61
43,34;31,60;31,63;31,98;59,18
23,66;30,11;40,38;34,20;61,96
17,24;29,37;55,55;38,74;64,66
26,16;28,40;48,13;37,36;65,22
41,07;39,42;49,08;39,24;69,71
32,93;35,50;77,05;41,81;69,35
15,21;32,47;61,55;38,60;62,52
27,02;40,33;56,26;37,94;67,11
13,70;39,48;55,64;36,91;63,39
17,12;35,28;63,32;46,89;73,38
27,35;32,67;66,42;40,43;58,76
28,82;42,89;64,04;38,07;56,90
16,83;44,76;69,69;47,25;67,78
21,57;41,75;71,19;43,67;67,75
13,45;25,47;86,24;49,87;104,51
18,55;18,58;36,97;14,98;40,05
27,54;26,02;38,29;42,23;68,25
9,08;24,18;62,55;38,99;45,90
10,99;34,59;51,59;39,13;54,83
17,87;34,06;61,25;43,71;59,78
10,93;20,91;63,88;31,72;57,42
8,21;24,70;54,38;25,69;52,26
16,71;31,93;46,80;30,67;56,23
18,03;25,57;47,08;29,54;61,00
15,21;21,81;54,10;38,48;96,65
7,22;25,15;42,11;40,13;47,99
5,20;15,70;44,67;21,01;55,80
18,87;23,04;35,73;12,16;25,27
23,42;28,83;42,88;19,35;36,32
14,70;23,34;46,11;26,52;34,10
38,49;37,70;42,96;29,79;43,27
34,73;34,32;50,66;26,90;42,70
17,75;33,28;58,15;32,72;49,58
17,58;29,27;65,21;31,83;46,38
11,38;27,85;64,51;23,68;45,54
15,54;25,20;64,66;21,06;39,78
15,93;27,08;55,54;24,08;49,41
11,24;27,35;54,47;30,82;42,30
13,81;23,26;62,99;30,12;35,73
13,96;28,71;51,60;29,71;44,11
20,71;29,56;56,32;33,80;45,27
12,29;24,99;54,60;26,22;47,66
4,48;19,53;62,78;41,49;131,75
16,21;17,41;38,07;12,22;27,30
43,70;28,43;28,39;14,22;22,98
18,44;29,47;48,54;27,28;42,45
12,02;31,57;49,19;24,12;45,13
11,13;24,04;56,69;27,52;54,81
12,65;24,96;53,01;28,97;44,46
16,81;28,53;53,15;24,36;44,93
19,13;30,92;66,25;22,59;39,61
